transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,customer_quality_score,true_recovery_probability,recovered,created_at
27,4660,6993.41,upi,network_timeout,2,0.764,0.646,1,2026-07-03 13:02:33
28,3153,9768.49,card,authentication_failure,3,0.918,0.477,1,2026-08-27 13:02:33
29,3475,5356.25,upi,repeated_failure,1,0.841,0.206,0,2026-07-27 13:02:33
30,4932,2452.61,wallet,authentication_failure,2,0.904,0.552,0,2026-06-20 13:02:33
31,2932,4048.36,upi,insufficient_balance,2,0.735,0.384,1,2026-06-16 13:02:33
32,1148,6988.55,upi,authentication_failure,2,0.981,0.582,0,2026-06-30 13:02:33
33,1370,2342.31,netbanking,authentication_failure,3,0.642,0.367,1,2026-07-26 13:02:33
34,1960,1461.46,wallet,insufficient_balance,3,0.736,0.304,0,2026-07-09 13:02:33
35,4062,2362.65,netbanking,insufficient_balance,3,0.875,0.36,0,2026-06-29 13:02:33
36,4977,1021.72,card,insufficient_balance,3,0.925,0.38,0,2026-07-27 13:02:33
37,4091,3557.17,card,temporary_bank_failure,3,0.771,0.618,0,2026-08-08 13:02:33
38,3192,8524.19,wallet,temporary_bank_failure,0,0.753,0.851,1,2026-07-21 13:02:33
39,4200,191.05,upi,network_timeout,1,0.496,0.618,0,2026-08-03 13:02:33
40,2962,4907.58,upi,repeated_failure,2,0.811,0.114,0,2026-07-18 13:02:33
41,4068,2448.77,wallet,temporary_bank_failure,0,0.698,0.829,1,2026-08-20 13:02:33
42,1219,5726.26,wallet,temporary_bank_failure,3,0.75,0.61,1,2026-06-03 13:02:33
43,3447,5939.72,upi,repeated_failure,1,0.636,0.124,0,2026-07-05 13:02:33
44,3355,3565.78,upi,authentication_failure,0,0.797,0.669,1,2026-06-25 13:02:33
45,4549,5042.01,card,network_timeout,3,0.627,0.511,1,2026-07-10 13:02:33
46,17,4752.45,wallet,network_timeout,1,0.547,0.639,0,2026-07-22 13:02:33
47,2328,5572.37,card,customer_abandonment,2,0.875,0.19,0,2026-06-26 13:02:33
48,2301,8526.25,wallet,customer_abandonment,3,0.878,0.111,0,2026-08-10 13:02:33
49,1817,8457.71,netbanking,insufficient_balance,2,0.686,0.364,0,2026-08-04 13:02:33
50,4722,1486.83,netbanking,repeated_failure,2,0.673,0.059,0,2026-05-30 13:02:33
51,785,7054.59,card,temporary_bank_failure,3,0.666,0.576,1,2026-07-17 13:02:33
52,2807,2636.45,netbanking,insufficient_balance,3,0.476,0.2,0,2026-08-21 13:02:33
53,4132,6534.64,wallet,customer_abandonment,3,0.892,0.117,0,2026-08-14 13:02:33
54,972,373.41,netbanking,authentication_failure,1,0.883,0.623,1,2026-06-02 13:02:33
55,1983,4709.42,netbanking,repeated_failure,2,0.514,0.02,0,2026-08-06 13:02:33
56,1716,3102.33,upi,insufficient_balance,2,0.428,0.261,1,2026-08-20 13:02:33
57,3125,9655.99,wallet,network_timeout,2,0.785,0.654,1,2026-07-12 13:02:33
58,4365,7174.49,wallet,insufficient_balance,2,0.777,0.401,0,2026-06-26 13:02:33
59,3676,2583.52,netbanking,insufficient_balance,1,0.701,0.45,0,2026-08-05 13:02:33
60,1151,4148.63,wallet,temporary_bank_failure,1,0.411,0.634,0,2026-07-25 13:02:33
61,560,9352.68,wallet,temporary_bank_failure,0,0.469,0.738,0,2026-06-25 13:02:33
62,1471,7327.39,upi,customer_abandonment,2,0.747,0.139,0,2026-08-12 13:02:33
63,3507,242.5,upi,customer_abandonment,1,0.858,0.263,1,2026-07-12 13:02:33
64,2142,7066.21,upi,repeated_failure,3,0.847,0.049,1,2026-05-30 13:02:33
65,2480,3528.41,netbanking,customer_abandonment,1,0.685,0.194,0,2026-08-05 13:02:33
66,2850,251.51,netbanking,network_timeout,2,0.664,0.606,1,2026-08-27 13:02:33
67,1016,1713.05,card,customer_abandonment,3,0.611,0.02,0,2026-08-26 13:02:33
68,4593,6400.4,wallet,network_timeout,3,0.892,0.617,1,2026-07-09 13:02:33
69,3747,4636.7,card,network_timeout,2,0.892,0.697,0,2026-08-16 13:02:33
70,3914,2812.22,wallet,authentication_failure,3,0.666,0.376,1,2026-08-26 13:02:33
71,2547,3431.89,netbanking,insufficient_balance,1,0.964,0.556,1,2026-08-02 13:02:33
72,1626,2680.88,upi,repeated_failure,2,0.916,0.156,1,2026-06-14 13:02:33
73,413,8054.46,card,network_timeout,0,0.83,0.832,1,2026-06-16 13:02:33
74,2968,7343.31,card,authentication_failure,3,0.646,0.368,0,2026-08-04 13:02:33
75,4133,6830.46,card,network_timeout,2,0.872,0.689,0,2026-07-29 13:02:33
76,3953,8281.93,wallet,repeated_failure,1,0.788,0.185,0,2026-08-09 13:02:33
77,396,8486.72,card,customer_abandonment,0,0.699,0.28,0,2026-06-11 13:02:33
78,2783,4980.95,netbanking,network_timeout,3,0.637,0.515,1,2026-08-16 13:02:33
79,2939,9467.33,wallet,customer_abandonment,3,0.736,0.054,0,2026-07-06 13:02:33
80,2983,653.12,netbanking,repeated_failure,2,0.741,0.086,0,2026-06-14 13:02:33
81,4847,7638.96,card,network_timeout,3,0.702,0.541,0,2026-08-21 13:02:33
82,1192,8236.41,card,insufficient_balance,1,0.788,0.485,1,2026-07-30 13:02:33
83,3237,5854.92,netbanking,repeated_failure,0,0.886,0.304,0,2026-08-11 13:02:33
84,511,7558.44,card,temporary_bank_failure,1,0.897,0.829,1,2026-08-09 13:02:33
85,2924,4299.8,netbanking,repeated_failure,1,0.917,0.237,0,2026-06-22 13:02:33
86,4269,4739.74,upi,customer_abandonment,1,0.733,0.213,0,2026-06-17 13:02:33
87,4925,7485.84,netbanking,temporary_bank_failure,0,0.66,0.814,1,2026-06-26 13:02:33
88,1532,8699.13,card,temporary_bank_failure,1,0.502,0.671,1,2026-07-01 13:02:33
89,3628,5604.45,wallet,customer_abandonment,2,0.41,0.02,0,2026-06-04 13:02:33
90,4299,2604.6,card,network_timeout,2,0.832,0.673,0,2026-08-10 13:02:33
91,1257,3015.49,upi,temporary_bank_failure,0,0.891,0.906,1,2026-08-25 13:02:33
92,2704,2881.54,netbanking,temporary_bank_failure,3,0.636,0.564,1,2026-06-13 13:02:33
93,668,1779.83,wallet,customer_abandonment,3,0.768,0.067,0,2026-07-01 13:02:33
94,540,9746.51,card,network_timeout,3,0.585,0.494,1,2026-06-26 13:02:33
95,2509,1709.91,wallet,network_timeout,1,0.841,0.756,1,2026-08-22 13:02:33
96,256,9199.85,netbanking,customer_abandonment,1,0.966,0.306,0,2026-08-23 13:02:33
97,1016,8124.48,upi,temporary_bank_failure,3,0.611,0.554,0,2026-08-17 13:02:33
98,4949,3990.6,netbanking,insufficient_balance,2,0.966,0.476,0,2026-06-12 13:02:33
99,4001,4206.71,card,insufficient_balance,0,0.755,0.552,1,2026-07-04 13:02:33
100,4614,5390.03,card,network_timeout,0,0.775,0.81,0,2026-07-06 13:02:33
101,3637,8511.51,upi,customer_abandonment,0,0.626,0.25,1,2026-06-16 13:02:33
102,2049,6101.13,card,authentication_failure,1,0.594,0.508,0,2026-07-27 13:02:33
103,2082,1224.22,netbanking,network_timeout,1,0.404,0.582,1,2026-07-05 13:02:33
104,2166,3146.99,netbanking,authentication_failure,0,0.803,0.671,1,2026-08-23 13:02:33
105,3038,4094.48,netbanking,repeated_failure,3,0.865,0.056,0,2026-08-05 13:02:33
106,3279,6429.68,card,customer_abandonment,2,0.909,0.204,0,2026-07-21 13:02:33
107,4860,6120.07,upi,insufficient_balance,1,0.844,0.508,1,2026-07-08 13:02:33
108,4543,5519.72,wallet,insufficient_balance,0,0.736,0.544,0,2026-07-29 13:02:33
109,4855,7006.65,netbanking,insufficient_balance,0,0.765,0.556,1,2026-07-03 13:02:33
110,3473,2656.62,card,insufficient_balance,3,0.761,0.314,1,2026-08-22 13:02:33
111,4301,5838.53,netbanking,repeated_failure,2,0.738,0.085,1,2026-08-05 13:02:33
112,3446,6995.36,wallet,network_timeout,0,0.873,0.849,0,2026-06-22 13:02:33
113,667,1805.97,wallet,customer_abandonment,1,0.898,0.279,1,2026-08-07 13:02:33
114,4700,414.87,card,insufficient_balance,1,0.603,0.411,1,2026-08-16 13:02:33
115,2394,1374.61,upi,repeated_failure,1,0.612,0.115,0,2026-06-16 13:02:33
116,2297,909.41,upi,temporary_bank_failure,1,0.776,0.78,1,2026-07-11 13:02:33
117,3645,8696.18,upi,temporary_bank_failure,3,0.904,0.672,0,2026-07-07 13:02:33
118,2767,6220.72,upi,repeated_failure,2,0.783,0.103,0,2026-08-26 13:02:33
119,365,1562.62,upi,insufficient_balance,2,0.425,0.26,0,2026-08-05 13:02:33
120,2798,401.67,netbanking,authentication_failure,1,0.96,0.654,1,2026-08-13 13:02:33
121,4581,5683.25,upi,network_timeout,0,0.932,0.873,1,2026-05-30 13:02:33
122,126,8916.22,card,network_timeout,3,0.684,0.534,1,2026-08-18 13:02:33
123,67,4847.86,card,temporary_bank_failure,3,0.884,0.664,1,2026-07-25 13:02:33
124,4719,1363.04,wallet,temporary_bank_failure,0,0.528,0.761,1,2026-07-07 13:02:33
125,1762,5032.65,wallet,authentication_failure,1,0.902,0.631,1,2026-07-26 13:02:33
126,1461,1613.31,card,repeated_failure,2,0.829,0.122,0,2026-06-14 13:02:33
127,3518,1816.4,upi,repeated_failure,2,0.564,0.02,0,2026-08-25 13:02:33
128,243,9972.83,wallet,customer_abandonment,1,0.788,0.235,0,2026-06-14 13:02:33
129,4,2653.24,upi,repeated_failure,3,0.801,0.03,0,2026-06-27 13:02:33
130,4290,4818.53,wallet,authentication_failure,0,0.838,0.685,0,2026-06-19 13:02:33
131,1142,2075.12,netbanking,network_timeout,3,0.884,0.614,1,2026-07-12 13:02:33
132,2049,2957.44,upi,insufficient_balance,0,0.594,0.488,0,2026-06-12 13:02:33
133,2027,3755.38,card,authentication_failure,3,0.846,0.448,1,2026-08-05 13:02:33
134,1674,3291.3,upi,network_timeout,1,0.928,0.791,1,2026-06-26 13:02:33
135,2377,5996.82,card,temporary_bank_failure,3,0.785,0.624,1,2026-07-24 13:02:33
136,3678,8323.13,card,temporary_bank_failure,3,0.63,0.562,1,2026-06-14 13:02:33
137,2636,9271.85,netbanking,authentication_failure,3,0.771,0.418,0,2026-06-25 13:02:33
138,3851,2096.11,card,temporary_bank_failure,1,0.867,0.817,0,2026-07-22 13:02:33
139,2899,5278.35,upi,authentication_failure,3,0.321,0.238,0,2026-07-17 13:02:33
140,2137,4574.29,wallet,insufficient_balance,3,0.886,0.364,0,2026-07-08 13:02:33
141,4671,3618.09,card,temporary_bank_failure,2,0.633,0.643,1,2026-06-11 13:02:33
142,4917,1257.29,netbanking,authentication_failure,1,0.85,0.61,1,2026-07-08 13:02:33
143,2036,5774.19,netbanking,repeated_failure,0,0.59,0.186,1,2026-08-01 13:02:33
144,951,2124.99,upi,temporary_bank_failure,1,0.554,0.692,0,2026-06-15 13:02:33
145,2913,5411.17,upi,repeated_failure,2,0.695,0.068,0,2026-06-01 13:02:33
146,3229,2369.59,card,customer_abandonment,3,0.64,0.02,0,2026-08-01 13:02:33
147,95,5698.53,netbanking,authentication_failure,1,0.469,0.458,1,2026-06-20 13:02:33
148,4107,3490.99,upi,repeated_failure,1,0.733,0.163,0,2026-07-12 13:02:33
149,346,1618.18,netbanking,repeated_failure,0,0.843,0.287,1,2026-06-07 13:02:33
150,985,7288.35,netbanking,temporary_bank_failure,2,0.677,0.661,0,2026-06-21 13:02:33
151,2936,6548.54,wallet,customer_abandonment,0,0.431,0.172,0,2026-08-19 13:02:33
152,4147,9350.23,upi,customer_abandonment,1,0.738,0.215,0,2026-08-27 13:02:33
153,2862,1738.65,card,customer_abandonment,3,0.932,0.133,1,2026-07-02 13:02:33
154,3073,2351.22,netbanking,repeated_failure,2,0.661,0.054,0,2026-06-16 13:02:33
155,1333,8048.25,upi,temporary_bank_failure,0,0.693,0.827,1,2026-07-24 13:02:33
156,575,8648.83,card,network_timeout,1,0.814,0.746,1,2026-06-07 13:02:33
157,475,4576.96,netbanking,insufficient_balance,2,0.601,0.33,1,2026-07-08 13:02:33
158,1206,1738.58,netbanking,temporary_bank_failure,0,0.935,0.924,1,2026-07-10 13:02:33
159,4381,2278.96,upi,authentication_failure,1,0.86,0.614,0,2026-06-18 13:02:33
160,4945,1571.76,card,network_timeout,1,0.695,0.698,0,2026-06-26 13:02:33
161,1725,5994.31,netbanking,temporary_bank_failure,0,0.785,0.864,1,2026-07-08 13:02:33
162,952,2130.88,upi,authentication_failure,0,0.876,0.7,1,2026-07-29 13:02:33
163,3496,3011.04,upi,authentication_failure,2,0.931,0.562,1,2026-06-23 13:02:33
164,2162,7677.03,upi,repeated_failure,3,0.688,0.02,0,2026-07-30 13:02:33
165,4151,2795.79,wallet,authentication_failure,2,0.915,0.556,0,2026-06-02 13:02:33
166,55,7188.13,wallet,network_timeout,0,0.755,0.802,1,2026-07-02 13:02:33
167,2807,2041.52,wallet,authentication_failure,2,0.476,0.38,1,2026-07-05 13:02:33
168,3311,8885.86,netbanking,customer_abandonment,3,0.765,0.066,0,2026-07-25 13:02:33
169,2144,8571.4,wallet,repeated_failure,2,0.722,0.079,0,2026-07-22 13:02:33
170,4278,3002.16,upi,customer_abandonment,3,0.843,0.097,1,2026-06-15 13:02:33
171,775,8496.47,netbanking,temporary_bank_failure,3,0.85,0.65,1,2026-07-23 13:02:33
172,1309,8937.45,upi,network_timeout,2,0.676,0.61,0,2026-08-17 13:02:33
173,4842,5943.92,netbanking,insufficient_balance,3,0.898,0.369,0,2026-07-22 13:02:33
174,1280,4417.65,card,repeated_failure,3,0.913,0.075,0,2026-06-03 13:02:33
175,1388,5701.19,upi,temporary_bank_failure,2,0.749,0.69,0,2026-06-08 13:02:33
176,3954,2759.91,card,authentication_failure,3,0.886,0.464,0,2026-08-03 13:02:33
177,3431,6486.04,upi,temporary_bank_failure,1,0.747,0.769,0,2026-07-01 13:02:33
178,2077,2795.84,upi,customer_abandonment,2,0.595,0.078,0,2026-06-04 13:02:33
179,2090,2813.15,card,network_timeout,0,0.546,0.718,1,2026-06-13 13:02:33
180,1623,1486.18,upi,customer_abandonment,2,0.908,0.203,0,2026-08-22 13:02:33
181,4827,6367.67,wallet,insufficient_balance,0,0.897,0.609,1,2026-07-14 13:02:33
182,3473,3893.07,card,insufficient_balance,1,0.761,0.474,1,2026-08-26 13:02:33
183,3068,1925.27,netbanking,repeated_failure,0,0.45,0.13,0,2026-08-02 13:02:33
184,4125,2958.07,netbanking,customer_abandonment,3,0.946,0.138,0,2026-06-30 13:02:33
185,2855,4812.9,upi,authentication_failure,2,0.904,0.552,0,2026-08-06 13:02:33
186,1786,2696.41,netbanking,network_timeout,2,0.865,0.686,0,2026-06-08 13:02:33
187,4461,6270.99,upi,authentication_failure,1,0.529,0.482,1,2026-06-16 13:02:33
188,2344,5005.36,card,temporary_bank_failure,2,0.635,0.644,1,2026-08-03 13:02:33
189,4227,123.16,card,insufficient_balance,2,0.455,0.272,0,2026-08-16 13:02:33
190,2323,8093.56,wallet,customer_abandonment,0,0.951,0.38,1,2026-06-15 13:02:33
191,3641,958.38,netbanking,temporary_bank_failure,3,0.863,0.655,0,2026-08-20 13:02:33
192,4063,6621.96,card,customer_abandonment,1,0.966,0.306,0,2026-06-17 13:02:33
193,3727,610.8,upi,authentication_failure,1,0.537,0.485,1,2026-08-18 13:02:33
194,4807,5602.49,netbanking,temporary_bank_failure,1,0.607,0.713,0,2026-08-14 13:02:33
195,4431,3043.76,netbanking,customer_abandonment,3,0.646,0.02,0,2026-06-30 13:02:33
196,4823,7476.14,upi,customer_abandonment,3,0.595,0.02,0,2026-08-10 13:02:33
197,1467,466.38,netbanking,insufficient_balance,2,0.823,0.419,1,2026-06-29 13:02:33
198,131,3464.76,netbanking,customer_abandonment,2,0.607,0.083,0,2026-07-20 13:02:33
199,3960,7928.16,wallet,temporary_bank_failure,0,0.397,0.709,0,2026-07-26 13:02:33
200,4112,8778.99,upi,customer_abandonment,1,0.595,0.158,1,2026-07-17 13:02:33
201,546,8759.55,netbanking,repeated_failure,0,0.688,0.225,0,2026-07-20 13:02:33
202,814,7695.16,card,network_timeout,0,0.807,0.823,1,2026-07-02 13:02:33
203,272,4043.05,netbanking,network_timeout,1,0.662,0.685,1,2026-06-05 13:02:33
204,4485,133.13,upi,temporary_bank_failure,0,0.767,0.857,1,2026-07-29 13:02:33
205,2034,2412.72,upi,network_timeout,0,0.68,0.772,1,2026-07-06 13:02:33
206,2633,6828.51,card,temporary_bank_failure,3,0.725,0.6,0,2026-07-22 13:02:33
207,2109,5926.69,netbanking,customer_abandonment,2,0.985,0.234,0,2026-07-13 13:02:33
208,3416,6172.77,upi,authentication_failure,0,0.855,0.692,0,2026-08-24 13:02:33
209,885,1291.35,card,authentication_failure,2,0.691,0.466,1,2026-05-30 13:02:33
210,937,7817.89,upi,temporary_bank_failure,1,0.736,0.764,0,2026-07-05 13:02:33
211,727,9284.75,card,temporary_bank_failure,1,0.556,0.692,1,2026-07-24 13:02:33
212,2738,9963.72,upi,insufficient_balance,2,0.839,0.426,0,2026-08-15 13:02:33
213,893,8959.72,card,temporary_bank_failure,0,0.828,0.881,1,2026-07-03 13:02:33
214,2683,8898.61,card,network_timeout,0,0.89,0.856,1,2026-07-17 13:02:33
215,4617,7378.61,card,temporary_bank_failure,1,0.909,0.834,1,2026-06-10 13:02:33
216,4134,582.96,card,authentication_failure,1,0.833,0.603,1,2026-06-29 13:02:33
217,1712,853.7,wallet,customer_abandonment,0,0.657,0.263,1,2026-07-14 13:02:33
218,318,8264.34,netbanking,customer_abandonment,3,0.647,0.02,0,2026-07-19 13:02:33
219,3931,7365.71,card,customer_abandonment,3,0.8,0.08,0,2026-07-19 13:02:33
220,2140,8686.21,netbanking,temporary_bank_failure,0,0.452,0.731,1,2026-07-14 13:02:33
221,1717,6224.25,wallet,insufficient_balance,1,0.809,0.494,1,2026-08-23 13:02:33
222,557,389.55,card,insufficient_balance,2,0.842,0.427,1,2026-07-27 13:02:33
223,3509,1691.52,netbanking,repeated_failure,3,0.92,0.078,0,2026-06-12 13:02:33
224,2013,2012.02,netbanking,network_timeout,0,0.708,0.783,1,2026-08-11 13:02:33
225,4456,189.82,wallet,insufficient_balance,0,0.77,0.558,0,2026-06-19 13:02:33
226,2515,5458.54,netbanking,repeated_failure,3,0.422,0.02,0,2026-07-31 13:02:33
227,572,1114.85,card,repeated_failure,3,0.836,0.044,0,2026-06-21 13:02:33
228,4827,766.77,wallet,temporary_bank_failure,1,0.897,0.829,1,2026-08-06 13:02:33
229,4570,8728.21,upi,authentication_failure,3,0.517,0.317,0,2026-06-13 13:02:33
230,3748,5984.52,netbanking,authentication_failure,3,0.886,0.464,1,2026-08-17 13:02:33
231,3105,4937.57,netbanking,repeated_failure,2,0.805,0.112,0,2026-06-02 13:02:33
232,3610,4738.54,upi,insufficient_balance,3,0.871,0.358,0,2026-08-15 13:02:33
233,39,3053.91,card,customer_abandonment,3,0.548,0.02,0,2026-06-11 13:02:33
234,3156,2805.27,netbanking,repeated_failure,0,0.701,0.23,0,2026-07-03 13:02:33
235,989,4255.3,netbanking,customer_abandonment,2,0.277,0.02,0,2026-08-09 13:02:33
236,4666,2376.55,upi,network_timeout,0,0.895,0.858,1,2026-08-03 13:02:33
237,792,8657.15,upi,network_timeout,3,0.706,0.542,0,2026-06-29 13:02:33
238,985,7788.31,card,temporary_bank_failure,2,0.677,0.661,1,2026-07-09 13:02:33
239,4445,9127.18,card,network_timeout,1,0.835,0.754,1,2026-07-13 13:02:33
240,527,1261.35,upi,temporary_bank_failure,0,0.54,0.766,1,2026-06-05 13:02:33
241,1764,2332.85,upi,temporary_bank_failure,3,0.888,0.665,1,2026-08-26 13:02:33
242,584,4606.68,wallet,authentication_failure,3,0.944,0.488,1,2026-06-25 13:02:33
243,4434,6040.2,netbanking,repeated_failure,3,0.865,0.056,0,2026-05-31 13:02:33
244,2044,492.23,card,repeated_failure,1,0.579,0.102,0,2026-07-18 13:02:33
245,2449,5751.95,card,network_timeout,2,0.887,0.695,1,2026-06-03 13:02:33
246,2721,196.73,wallet,insufficient_balance,3,0.797,0.329,1,2026-07-26 13:02:33
247,4045,8262.69,card,repeated_failure,1,0.337,0.02,0,2026-06-23 13:02:33
248,90,8025.81,upi,repeated_failure,1,0.539,0.086,1,2026-07-15 13:02:33
249,1896,7094.11,card,authentication_failure,1,0.692,0.547,0,2026-06-16 13:02:33
250,2271,9358.5,upi,temporary_bank_failure,3,0.558,0.533,0,2026-06-27 13:02:33
251,1108,8166.77,netbanking,repeated_failure,2,0.931,0.162,0,2026-06-09 13:02:33
252,900,7859.94,upi,repeated_failure,2,0.706,0.072,0,2026-07-18 13:02:33
253,4970,7275.78,netbanking,repeated_failure,3,0.312,0.02,0,2026-08-15 13:02:33
254,1561,2270.22,netbanking,customer_abandonment,2,0.653,0.101,0,2026-07-14 13:02:33
255,1928,4393.19,netbanking,customer_abandonment,3,0.858,0.103,0,2026-06-07 13:02:33
256,1990,2361.7,netbanking,insufficient_balance,3,0.621,0.258,0,2026-06-30 13:02:33
257,2972,6834.26,netbanking,insufficient_balance,0,0.944,0.628,1,2026-06-10 13:02:33
258,353,8695.9,card,network_timeout,2,0.546,0.558,1,2026-08-04 13:02:33
259,404,7379.97,wallet,customer_abandonment,1,0.95,0.3,0,2026-08-04 13:02:33
260,1713,5921.78,wallet,authentication_failure,1,0.687,0.545,0,2026-06-23 13:02:33
261,2383,4275.04,wallet,insufficient_balance,1,0.618,0.417,0,2026-07-01 13:02:33
262,1270,3900.09,wallet,customer_abandonment,1,0.597,0.159,0,2026-08-13 13:02:33
263,2915,4112.57,wallet,insufficient_balance,1,0.938,0.545,1,2026-07-15 13:02:33
264,526,1891.67,upi,repeated_failure,0,0.862,0.295,1,2026-07-18 13:02:33
265,2366,4109.71,wallet,repeated_failure,1,0.912,0.235,0,2026-05-31 13:02:33
266,3156,1718.89,netbanking,insufficient_balance,2,0.701,0.37,1,2026-07-31 13:02:33
267,2114,189.4,card,authentication_failure,0,0.333,0.483,0,2026-07-03 13:02:33
268,4397,827.62,upi,authentication_failure,1,0.763,0.575,1,2026-08-18 13:02:33
269,2892,4365.79,card,repeated_failure,3,0.866,0.056,0,2026-06-13 13:02:33
270,2361,3855.65,wallet,repeated_failure,2,0.56,0.02,0,2026-06-13 13:02:33
271,2213,7083.32,card,temporary_bank_failure,3,0.884,0.664,1,2026-06-10 13:02:33
272,1926,1208.0,netbanking,network_timeout,1,0.453,0.601,0,2026-06-16 13:02:33
273,1317,489.5,upi,network_timeout,2,0.862,0.685,1,2026-06-30 13:02:33
274,1009,6913.26,upi,authentication_failure,3,0.691,0.386,0,2026-06-01 13:02:33
275,126,6427.29,card,insufficient_balance,0,0.684,0.524,0,2026-07-03 13:02:33
276,3250,1482.55,upi,network_timeout,3,0.637,0.515,1,2026-07-07 13:02:33
277,1970,6766.98,wallet,insufficient_balance,1,0.788,0.485,1,2026-08-20 13:02:33
278,4613,6957.0,netbanking,repeated_failure,2,0.792,0.107,0,2026-07-16 13:02:33
279,3486,6216.69,upi,insufficient_balance,3,0.417,0.177,0,2026-06-13 13:02:33
280,987,9194.91,upi,temporary_bank_failure,0,0.708,0.833,1,2026-06-09 13:02:33
281,3125,1155.27,card,customer_abandonment,3,0.785,0.074,0,2026-06-25 13:02:33
282,575,4128.39,card,temporary_bank_failure,3,0.814,0.636,0,2026-06-12 13:02:33
283,3231,8797.3,netbanking,temporary_bank_failure,0,0.736,0.844,1,2026-08-24 13:02:33
284,1638,9023.62,upi,authentication_failure,0,0.362,0.495,0,2026-06-06 13:02:33
285,1389,1290.07,card,authentication_failure,1,0.84,0.606,0,2026-06-04 13:02:33
286,3727,6137.33,wallet,temporary_bank_failure,2,0.537,0.605,0,2026-06-29 13:02:33
287,1441,3795.19,wallet,temporary_bank_failure,3,0.875,0.66,1,2026-08-17 13:02:33
288,3016,6232.95,upi,repeated_failure,1,0.854,0.212,0,2026-06-04 13:02:33
289,3866,9150.94,upi,insufficient_balance,0,0.496,0.448,1,2026-08-16 13:02:33
290,4400,5382.67,netbanking,customer_abandonment,2,0.917,0.207,0,2026-06-02 13:02:33
291,2546,5260.22,netbanking,network_timeout,0,0.462,0.685,1,2026-06-09 13:02:33
292,1839,9551.13,wallet,customer_abandonment,3,0.599,0.02,0,2026-08-13 13:02:33
293,4420,3581.06,card,customer_abandonment,1,0.949,0.3,1,2026-06-21 13:02:33
294,373,3142.17,upi,network_timeout,2,0.888,0.695,1,2026-08-20 13:02:33
295,106,7189.89,upi,network_timeout,0,0.781,0.812,0,2026-05-30 13:02:33
296,3417,1319.9,netbanking,repeated_failure,3,0.827,0.041,0,2026-08-15 13:02:33
297,3655,1933.76,upi,temporary_bank_failure,3,0.736,0.604,0,2026-06-21 13:02:33
298,3958,3797.75,card,repeated_failure,0,0.887,0.305,0,2026-08-15 13:02:33
299,1301,2357.99,wallet,repeated_failure,0,0.861,0.294,0,2026-06-01 13:02:33
300,2426,9068.32,card,temporary_bank_failure,3,0.881,0.662,1,2026-08-02 13:02:33
301,4955,2820.58,wallet,customer_abandonment,2,0.865,0.186,0,2026-07-20 13:02:33
302,3274,7689.9,upi,temporary_bank_failure,1,0.758,0.773,1,2026-06-20 13:02:33
